==================================================
  [클래스 1:1 매칭 리스트] (총 73개)
==================================================
YOLO ID    | 원본 Category ID       | 이름
---------- | -------------------- | ------------------------------
0          | 1899                 | 보령부스파정 5mg
1          | 2482                 | 뮤테란캡슐 100mg
2          | 3350                 | 일양하이트린정 2mg
3          | 3482                 | 기넥신에프정(은행엽엑스)(수출용)
4          | 3543                 | 무코스타정(레바미피드)(비매품)
5          | 3742                 | 알드린정
6          | 3831                 | 뉴로메드정(옥시라세탐)
7          | 4377                 | 타이레놀정500mg
8          | 4542                 | 에어탈정(아세클로페낙)
9          | 5093                 | 삼남건조수산화알루미늄겔정
10         | 5885                 | 타이레놀이알서방정(아세트아미노펜)(수출용)
11         | 6191                 | 삐콤씨에프정 618.6mg/병
12         | 6562                 | 조인스정 200mg
13         | 10220                | 쎄로켈정 100mg
14         | 12080                | 리렉스펜정 300mg/PTP
15         | 12246                | 아빌리파이정 10mg
16         | 12419                | 자이프렉사정 2.5mg
17         | 12777                | 다보타민큐정 10mg/병
18         | 13394                | 써스펜8시간이알서방정 650mg
19         | 13899                | 에빅사정(메만틴염산염)(비매품)
20         | 16231                | 리피토정 20mg
21         | 16261                | 크레스토정 20mg
22         | 16547                | 가바토파정 100mg
23         | 16550                | 동아가바펜틴정 800mg
24         | 16687                | 오마코연질캡슐(오메가-3-산에틸에스테르90)
25         | 18109                | 란스톤엘에프디티정 30mg
26         | 18146                | 리리카캡슐 150mg
27         | 18356                | 종근당글리아티린연질캡슐(콜린알포세레이트) 
28         | 19231                | 콜리네이트연질캡슐 400mg
29         | 19551                | 트루비타정 60mg/병
30         | 19606                | 스토가정 10mg
31         | 19860                | 노바스크정 5mg
32         | 20013                | 마도파정
33         | 20237                | 플라빅스정 75mg
34         | 20876                | 엑스포지정 5/160mg
35         | 21025                | 펠루비정(펠루비프로펜)
36         | 21324                | 아토르바정 10mg
37         | 21770                | 라비에트정 20mg
38         | 22073                | 리피로우정 20mg
39         | 22346                | 자누비아정 50mg
40         | 22361                | 맥시부펜이알정 300mg
41         | 22626                | 메가파워정 90mg/병
42         | 23202                | 쿠에타핀정 25mg
43         | 23222                | 비타비백정 100mg/병
44         | 24849                | 놀텍정 10mg
45         | 25366                | 자누메트정 50/850mg
46         | 25437                | 큐시드정 31.5mg/PTP
47         | 25468                | 아모잘탄정 5/100mg
48         | 27652                | 세비카정 10/40mg
49         | 27732                | 트윈스타정 40/5mg
50         | 27776                | 카나브정 60mg
51         | 27925                | 울트라셋이알서방정
52         | 27992                | 졸로푸트정 100mg
53         | 28762                | 트라젠타정(리나글립틴)
54         | 29344                | 비모보정 500/20mg
55         | 29450                | 레일라정
56         | 29666                | 리바로정 4mg
57         | 29870                | 렉사프로정 15mg
58         | 30307                | 트라젠타듀오정 2.5/850mg
59         | 31704                | 낙소졸정 500/20mg
60         | 31862                | 아질렉트정(라사길린메실산염)
61         | 31884                | 자누메트엑스알서방정 100/1000mg
62         | 32309                | 글리아타민연질캡슐
63         | 33008                | 신바로정
64         | 33207                | 에스원엠프정 20mg
65         | 33877                | 브린텔릭스정 20mg
66         | 33879                | 글리틴정(콜린알포세레이트)
67         | 34596                | 제미메트서방정 50/1000mg
68         | 35205                | 아토젯정 10/40mg
69         | 36636                | 로수젯정10/5밀리그램
70         | 38161                | 로수바미브정 10/20mg
71         | 41767                | 카발린캡슐 25mg
72         | 44198                | 케이캡정 50mg
==================================================
맵 생성 완료.
