epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.886,0.96762,4.34684,1.15451,0.62369,0.15741,0.16403,0.15104,0.44553,3.3635,0.8676,4.25595e-05,4.25595e-05,4.25595e-05
2,201.595,0.5237,2.11482,0.94205,0.64364,0.52607,0.53568,0.50738,0.34328,1.53457,0.80177,8.50425e-05,8.50425e-05,8.50425e-05
3,307.578,0.44253,1.45189,0.89494,0.71188,0.59676,0.64187,0.62054,0.29034,1.08615,0.78691,0.000126668,0.000126668,0.000126668
4,427.16,0.40956,1.12012,0.8779,0.76731,0.78532,0.81991,0.78673,0.30457,0.86295,0.78593,0.000126139,0.000126139,0.000126139
5,554.297,0.39505,0.96931,0.86754,0.78623,0.50192,0.52986,0.51234,0.28041,0.73904,0.77713,0.000124852,0.000124852,0.000124852
6,682.206,0.38184,0.8624,0.86723,0.80886,0.73141,0.72466,0.70243,0.27474,0.6678,0.77689,0.000123565,0.000123565,0.000123565
7,799.531,0.37229,0.79033,0.86204,0.83931,0.85876,0.88874,0.86352,0.25842,0.60664,0.77289,0.000122278,0.000122278,0.000122278
8,912.713,0.36019,0.74798,0.85827,0.7924,0.91456,0.90026,0.87742,0.25645,0.56447,0.76897,0.000120991,0.000120991,0.000120991
9,1022.47,0.33835,0.70582,0.84666,0.82286,0.93227,0.91817,0.89715,0.24939,0.51543,0.76937,0.000119704,0.000119704,0.000119704
10,1117.89,0.3409,0.65353,0.85169,0.84863,0.94572,0.93459,0.90969,0.25639,0.52484,0.76974,0.000118417,0.000118417,0.000118417
11,1224.76,0.33438,0.64035,0.84921,0.82653,0.93024,0.90595,0.8839,0.2476,0.48569,0.76708,0.00011713,0.00011713,0.00011713
12,1319.89,0.33056,0.63285,0.84666,0.82966,0.95933,0.93519,0.91582,0.24574,0.46421,0.7689,0.000115843,0.000115843,0.000115843
13,1418.08,0.3161,0.58865,0.84323,0.84641,0.96601,0.95172,0.93352,0.24045,0.45157,0.76713,0.000114556,0.000114556,0.000114556
14,1507.4,0.31963,0.58742,0.845,0.82536,0.9748,0.94265,0.92764,0.2245,0.45009,0.763,0.000113269,0.000113269,0.000113269
15,1599.94,0.31678,0.56954,0.84345,0.87204,0.95593,0.93574,0.91584,0.24701,0.43405,0.76745,0.000111982,0.000111982,0.000111982
16,1687.42,0.31834,0.55411,0.84924,0.8262,0.97671,0.9379,0.92237,0.2255,0.41667,0.76292,0.000110695,0.000110695,0.000110695
17,1782.4,0.31464,0.54363,0.84691,0.84601,0.97173,0.93862,0.92143,0.23613,0.4083,0.76481,0.000109408,0.000109408,0.000109408
18,1873.33,0.30642,0.52196,0.84592,0.86597,0.94804,0.94083,0.92621,0.23645,0.41764,0.76715,0.000108121,0.000108121,0.000108121
19,1964.74,0.30592,0.51326,0.84129,0.8508,0.99238,0.94216,0.9244,0.22839,0.39297,0.76265,0.000106834,0.000106834,0.000106834
20,2064.83,0.30116,0.50921,0.841,0.85567,0.95581,0.94369,0.92919,0.22237,0.38916,0.7614,0.000105547,0.000105547,0.000105547
21,2166,0.29147,0.49828,0.83603,0.8631,0.97182,0.93945,0.92685,0.2185,0.3915,0.76106,0.00010426,0.00010426,0.00010426
