epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.802,0.88948,4.30338,1.11692,0.53504,0.25584,0.23398,0.21549,0.39692,2.83829,0.83899,4.27556e-05,4.27556e-05,4.27556e-05
2,292.465,0.49004,2.11693,0.9263,0.53334,0.48872,0.454,0.42858,0.339,1.50089,0.81397,8.43843e-05,8.43843e-05,8.43843e-05
3,466.528,0.4255,1.41346,0.88645,0.61335,0.59709,0.54459,0.52449,0.303,1.17861,0.79778,0.000124297,0.000124297,0.000124297
4,651.382,0.39349,1.16656,0.87139,0.69704,0.40782,0.41367,0.40168,0.28539,0.98093,0.79536,0.000122278,0.000122278,0.000122278
5,844.203,0.38058,1.025,0.86564,0.66828,0.56182,0.51499,0.49385,0.28425,0.87634,0.79297,0.000119704,0.000119704,0.000119704
6,1040.3,0.36854,0.92547,0.86226,0.69593,0.77569,0.70585,0.68801,0.26108,0.78082,0.78877,0.00011713,0.00011713,0.00011713
7,1216.82,0.35226,0.84445,0.85507,0.71787,0.92745,0.83289,0.80769,0.26565,0.7573,0.78882,0.000114556,0.000114556,0.000114556
8,1361.2,0.34632,0.80261,0.85725,0.71169,0.93802,0.82348,0.80612,0.24815,0.73392,0.78434,0.000111982,0.000111982,0.000111982
9,1499.38,0.33363,0.76191,0.84786,0.71813,0.94046,0.83187,0.80237,0.27372,0.71553,0.79242,0.000109408,0.000109408,0.000109408
10,1648.52,0.33016,0.71703,0.84715,0.72605,0.98149,0.84579,0.82704,0.24015,0.64946,0.78158,0.000106834,0.000106834,0.000106834
11,1789.43,0.32276,0.69954,0.8486,0.71401,0.96411,0.84743,0.83115,0.23425,0.64741,0.77919,0.00010426,0.00010426,0.00010426
12,1937.92,0.31925,0.69996,0.84903,0.72287,0.97365,0.84964,0.83188,0.23337,0.62138,0.77925,0.000101686,0.000101686,0.000101686
13,2087.81,0.31896,0.68003,0.84612,0.71047,0.9791,0.85668,0.83853,0.24535,0.62013,0.78238,9.9112e-05,9.9112e-05,9.9112e-05
14,2223.71,0.3135,0.66185,0.84787,0.73109,0.95993,0.85685,0.84152,0.22598,0.59961,0.77837,9.6538e-05,9.6538e-05,9.6538e-05
15,2375.96,0.31107,0.64278,0.8487,0.70987,0.98026,0.84821,0.83053,0.23187,0.60135,0.77901,9.3964e-05,9.3964e-05,9.3964e-05
16,2521.54,0.30186,0.62898,0.8422,0.73499,0.97358,0.84822,0.83516,0.22099,0.58194,0.77702,9.139e-05,9.139e-05,9.139e-05
17,2689.85,0.30141,0.62923,0.84207,0.73526,0.98238,0.84104,0.82654,0.22888,0.5914,0.77878,8.8816e-05,8.8816e-05,8.8816e-05
18,2870.35,0.30132,0.60126,0.84711,0.73991,0.98251,0.84662,0.8314,0.22708,0.57125,0.77954,8.6242e-05,8.6242e-05,8.6242e-05
19,3041.58,0.29224,0.60124,0.84298,0.72585,0.98714,0.84456,0.83052,0.219,0.56379,0.77685,8.3668e-05,8.3668e-05,8.3668e-05
20,3224.6,0.28963,0.58913,0.83696,0.73358,0.97669,0.8394,0.82845,0.21466,0.56632,0.77595,8.1094e-05,8.1094e-05,8.1094e-05
21,3374.87,0.28482,0.58121,0.84086,0.72381,0.97752,0.84231,0.82811,0.22888,0.55613,0.77986,7.852e-05,7.852e-05,7.852e-05
22,3560.27,0.27822,0.57785,0.83523,0.73608,0.96729,0.84433,0.83118,0.22578,0.54949,0.77919,7.5946e-05,7.5946e-05,7.5946e-05
23,3772.14,0.27578,0.53821,0.83592,0.73233,0.97893,0.84574,0.83222,0.21958,0.55988,0.77625,7.3372e-05,7.3372e-05,7.3372e-05
24,3957.34,0.27636,0.56411,0.83552,0.72301,0.95697,0.84341,0.83262,0.22142,0.55782,0.77589,7.0798e-05,7.0798e-05,7.0798e-05
25,4147.56,0.26848,0.55531,0.831,0.72649,0.98458,0.8437,0.83394,0.21604,0.55384,0.7753,6.8224e-05,6.8224e-05,6.8224e-05
26,4310.06,0.27621,0.54257,0.83651,0.72017,0.97976,0.84877,0.84014,0.21469,0.5197,0.77679,6.565e-05,6.565e-05,6.565e-05
