epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.44,0.74154,2.23228,1.05686,0.93695,0.93338,0.98974,0.94386,0.32854,0.34621,0.8255,4.32403e-05,4.32403e-05,4.32403e-05
2,288.693,0.44494,0.56108,0.88776,0.95151,0.99176,0.98854,0.96324,0.27283,0.23136,0.79843,8.48595e-05,8.48595e-05,8.48595e-05
3,431.833,0.39049,0.40842,0.86937,0.9677,0.97461,0.99047,0.96838,0.24749,0.2042,0.78974,0.000124763,0.000124763,0.000124763
4,574.493,0.37509,0.34976,0.86569,0.97393,0.98791,0.99133,0.97753,0.22477,0.18364,0.78642,0.000122278,0.000122278,0.000122278
5,717.246,0.34818,0.31358,0.85792,0.96488,0.99176,0.99079,0.95768,0.28829,0.19345,0.80157,0.000119704,0.000119704,0.000119704
6,860.011,0.33532,0.28819,0.85394,0.97265,0.97501,0.99126,0.97748,0.21322,0.18025,0.78418,0.00011713,0.00011713,0.00011713
7,1002.69,0.32307,0.27646,0.85138,0.96547,0.99282,0.99029,0.9755,0.22902,0.17877,0.78649,0.000114556,0.000114556,0.000114556
8,1145.39,0.31396,0.25946,0.84795,0.98048,0.98969,0.99101,0.97708,0.22577,0.17746,0.78681,0.000111982,0.000111982,0.000111982
9,1288,0.30252,0.24745,0.84515,0.95769,0.99152,0.9904,0.97656,0.22907,0.18182,0.7856,0.000109408,0.000109408,0.000109408
10,1430.72,0.29414,0.23757,0.84169,0.98032,0.98474,0.99094,0.97766,0.22802,0.17385,0.78477,0.000106834,0.000106834,0.000106834
11,1573.41,0.28458,0.22875,0.8412,0.98038,0.9879,0.99072,0.98073,0.21159,0.16697,0.78295,0.00010426,0.00010426,0.00010426
12,1716.13,0.28036,0.22339,0.83878,0.98488,0.98968,0.9913,0.98219,0.20109,0.1537,0.77884,0.000101686,0.000101686,0.000101686
13,1858.77,0.27571,0.21973,0.83814,0.98258,0.99001,0.99067,0.97668,0.21117,0.15672,0.78046,9.9112e-05,9.9112e-05,9.9112e-05
14,2001.45,0.27022,0.21068,0.83538,0.98511,0.99004,0.99034,0.98151,0.19672,0.15567,0.77759,9.6538e-05,9.6538e-05,9.6538e-05
15,2144.14,0.2645,0.20797,0.83453,0.98602,0.98719,0.99101,0.98412,0.20074,0.15078,0.77575,9.3964e-05,9.3964e-05,9.3964e-05
16,2286.86,0.2616,0.20629,0.83456,0.98675,0.99184,0.99168,0.98234,0.21326,0.15352,0.77925,9.139e-05,9.139e-05,9.139e-05
17,2429.48,0.25666,0.19981,0.83127,0.9829,0.9857,0.99092,0.97939,0.21433,0.16313,0.78151,8.8816e-05,8.8816e-05,8.8816e-05
18,2572.54,0.25239,0.19808,0.8317,0.98625,0.99426,0.99123,0.98317,0.191,0.14508,0.77529,8.6242e-05,8.6242e-05,8.6242e-05
19,2716.14,0.24728,0.19021,0.82927,0.98092,0.99001,0.98961,0.98254,0.18587,0.1527,0.77476,8.3668e-05,8.3668e-05,8.3668e-05
20,2859.87,0.24318,0.18914,0.82781,0.9887,0.98972,0.98995,0.98332,0.19581,0.16069,0.77675,8.1094e-05,8.1094e-05,8.1094e-05
21,3003.28,0.24166,0.18623,0.82779,0.9835,0.98884,0.98946,0.98002,0.1985,0.16179,0.77882,7.852e-05,7.852e-05,7.852e-05
22,3147.09,0.23593,0.18293,0.82618,0.98718,0.98372,0.99074,0.983,0.19286,0.15587,0.77705,7.5946e-05,7.5946e-05,7.5946e-05
23,3290.75,0.23655,0.18222,0.82716,0.98483,0.97914,0.98809,0.98118,0.19138,0.15933,0.77778,7.3372e-05,7.3372e-05,7.3372e-05
24,3434.5,0.23296,0.17822,0.82605,0.98737,0.98957,0.98898,0.98049,0.18884,0.15494,0.77661,7.0798e-05,7.0798e-05,7.0798e-05
25,3578.17,0.2292,0.17669,0.8245,0.99021,0.99042,0.98971,0.97973,0.19352,0.15455,0.77857,6.8224e-05,6.8224e-05,6.8224e-05
26,3721.82,0.22754,0.17666,0.82507,0.98382,0.98554,0.98764,0.98217,0.18631,0.15893,0.77697,6.565e-05,6.565e-05,6.565e-05
27,3865.56,0.22358,0.16986,0.8234,0.98652,0.98256,0.99048,0.98493,0.19408,0.15339,0.77879,6.3076e-05,6.3076e-05,6.3076e-05
28,4009.27,0.22146,0.16755,0.82199,0.98773,0.98488,0.99142,0.98517,0.18815,0.15452,0.77636,6.0502e-05,6.0502e-05,6.0502e-05
29,4152.79,0.21867,0.16625,0.82266,0.98917,0.98798,0.99031,0.98225,0.18674,0.14855,0.77645,5.7928e-05,5.7928e-05,5.7928e-05
30,4296.51,0.2177,0.16499,0.82246,0.98791,0.98951,0.98934,0.98422,0.19011,0.15051,0.77658,5.5354e-05,5.5354e-05,5.5354e-05
31,4440.26,0.21273,0.16171,0.82057,0.98931,0.98957,0.98998,0.98391,0.18629,0.14996,0.77687,5.278e-05,5.278e-05,5.278e-05
32,4584.09,0.2098,0.15916,0.8206,0.98719,0.98875,0.98776,0.9808,0.19419,0.15591,0.77654,5.0206e-05,5.0206e-05,5.0206e-05
33,4727.64,0.21014,0.15773,0.8195,0.9892,0.98969,0.9897,0.98144,0.18573,0.14784,0.77538,4.7632e-05,4.7632e-05,4.7632e-05
34,4871.6,0.20773,0.15565,0.81884,0.98428,0.98811,0.98546,0.97938,0.18714,0.1546,0.77476,4.5058e-05,4.5058e-05,4.5058e-05
35,5015.39,0.20718,0.15491,0.82,0.98927,0.98439,0.98838,0.98189,0.18482,0.1476,0.77505,4.2484e-05,4.2484e-05,4.2484e-05
36,5159.17,0.20272,0.15304,0.81801,0.98629,0.98313,0.98989,0.98397,0.17814,0.15155,0.77345,3.991e-05,3.991e-05,3.991e-05
37,5302.7,0.20066,0.15141,0.81773,0.98756,0.98726,0.98848,0.98275,0.1832,0.15261,0.77518,3.7336e-05,3.7336e-05,3.7336e-05
38,5446.23,0.19638,0.14595,0.81657,0.99066,0.98797,0.98881,0.98076,0.18133,0.14525,0.77619,3.4762e-05,3.4762e-05,3.4762e-05
39,5589.47,0.19751,0.14693,0.81875,0.99191,0.98331,0.98911,0.98122,0.18476,0.14668,0.77539,3.2188e-05,3.2188e-05,3.2188e-05
40,5733.27,0.19416,0.14454,0.81661,0.98783,0.98813,0.98921,0.98144,0.18127,0.14334,0.77574,2.9614e-05,2.9614e-05,2.9614e-05
