epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.8438,0.80767,3.92255,1.0913,0.55972,0.32874,0.32335,0.29904,0.40222,1.88004,0.88053,4.28623e-05,4.28623e-05,4.28623e-05
2,190.562,0.45968,1.75961,0.91451,0.69496,0.75988,0.70371,0.66994,0.32668,0.852,0.82162,8.4489e-05,8.4489e-05,8.4489e-05
3,281.941,0.40911,1.21313,0.89042,0.76198,0.89269,0.85838,0.82716,0.28802,0.65808,0.80148,0.0001244,0.0001244,0.0001244
4,373.558,0.40204,0.99902,0.88645,0.7654,0.93208,0.86822,0.83785,0.28418,0.62538,0.80143,0.000122278,0.000122278,0.000122278
5,465.321,0.37476,0.86116,0.87265,0.78049,0.96943,0.88997,0.86259,0.27311,0.52627,0.79769,0.000119704,0.000119704,0.000119704
6,553.756,0.36197,0.79418,0.86586,0.79158,0.98409,0.89887,0.87613,0.26939,0.50406,0.79191,0.00011713,0.00011713,0.00011713
7,642.088,0.35444,0.74877,0.86467,0.80156,0.97391,0.89924,0.87212,0.26872,0.47929,0.79365,0.000114556,0.000114556,0.000114556
8,727.828,0.34318,0.71172,0.86364,0.81092,0.97404,0.8985,0.88034,0.2424,0.4493,0.78352,0.000111982,0.000111982,0.000111982
9,813.796,0.33768,0.6909,0.86126,0.81761,0.97712,0.9005,0.8819,0.24301,0.44449,0.78354,0.000109408,0.000109408,0.000109408
10,899.678,0.33582,0.66028,0.86032,0.79819,0.98777,0.89968,0.8784,0.2575,0.45112,0.78681,0.000106834,0.000106834,0.000106834
11,985.38,0.32471,0.64281,0.85578,0.8006,0.98475,0.90044,0.88555,0.23092,0.4327,0.77911,0.00010426,0.00010426,0.00010426
12,1071.26,0.31395,0.62259,0.85205,0.81376,0.98652,0.89603,0.88124,0.22477,0.42741,0.77898,0.000101686,0.000101686,0.000101686
13,1156.9,0.31395,0.61121,0.8543,0.80965,0.98556,0.91123,0.89303,0.23402,0.41321,0.77861,9.9112e-05,9.9112e-05,9.9112e-05
14,1242.74,0.3146,0.60403,0.85468,0.81332,0.98543,0.90361,0.89022,0.22465,0.40924,0.7784,9.6538e-05,9.6538e-05,9.6538e-05
15,1328.42,0.29871,0.59775,0.8468,0.81256,0.98806,0.90991,0.89603,0.22171,0.41013,0.77795,9.3964e-05,9.3964e-05,9.3964e-05
16,1414.37,0.29942,0.58197,0.84663,0.82018,0.98835,0.90958,0.8959,0.22417,0.40521,0.78001,9.139e-05,9.139e-05,9.139e-05
17,1500.43,0.29731,0.58236,0.84904,0.81781,0.99179,0.90952,0.89824,0.22158,0.39706,0.77643,8.8816e-05,8.8816e-05,8.8816e-05
18,1586.38,0.28909,0.5672,0.84302,0.81042,0.9879,0.91188,0.89868,0.2162,0.40168,0.77728,8.6242e-05,8.6242e-05,8.6242e-05
19,1672.84,0.28731,0.55158,0.84786,0.82319,0.9927,0.91044,0.90195,0.20468,0.38673,0.77139,8.3668e-05,8.3668e-05,8.3668e-05
20,1758.8,0.27856,0.55185,0.84247,0.81216,0.99009,0.90746,0.89678,0.21025,0.39415,0.77297,8.1094e-05,8.1094e-05,8.1094e-05
21,1844.44,0.28108,0.54385,0.84088,0.81931,0.98825,0.91336,0.90193,0.21804,0.39836,0.77478,7.852e-05,7.852e-05,7.852e-05
22,1930.29,0.27394,0.53069,0.84239,0.81431,0.99164,0.91628,0.90837,0.20186,0.39741,0.77017,7.5946e-05,7.5946e-05,7.5946e-05
23,2016.23,0.2727,0.53467,0.84271,0.81936,0.98142,0.91342,0.905,0.20599,0.38638,0.77328,7.3372e-05,7.3372e-05,7.3372e-05
24,2102.18,0.2735,0.51696,0.84175,0.83218,0.98925,0.91361,0.90824,0.18906,0.37349,0.76817,7.0798e-05,7.0798e-05,7.0798e-05
