epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.6845,0.78389,3.383,1.09747,0.71811,0.31874,0.35458,0.32269,0.42336,1.887,0.84324,4.25595e-05,4.25595e-05,4.25595e-05
2,214.788,0.43719,1.41519,0.90084,0.70104,0.74878,0.74954,0.71059,0.33233,0.78547,0.80702,8.41922e-05,8.41922e-05,8.41922e-05
3,373.306,0.40654,0.93833,0.88514,0.76238,0.87971,0.90044,0.85586,0.31074,0.5563,0.80215,0.000124109,0.000124109,0.000124109
4,500.954,0.38738,0.76762,0.87669,0.75449,0.9392,0.91176,0.86309,0.31655,0.48668,0.80821,0.000122278,0.000122278,0.000122278
5,604.096,0.3773,0.7034,0.87314,0.81273,0.94436,0.93359,0.89035,0.32017,0.46184,0.80714,0.000119704,0.000119704,0.000119704
6,713.797,0.37837,0.6332,0.87066,0.84907,0.95291,0.93875,0.89596,0.30261,0.40784,0.8029,0.00011713,0.00011713,0.00011713
7,831.523,0.36498,0.59852,0.87045,0.84472,0.93505,0.94734,0.91209,0.26872,0.40517,0.79394,0.000114556,0.000114556,0.000114556
8,951.373,0.34507,0.56153,0.862,0.83973,0.99084,0.94238,0.91757,0.26278,0.39155,0.78605,0.000111982,0.000111982,0.000111982
9,1055.8,0.34572,0.54295,0.86677,0.85378,0.98725,0.94799,0.91945,0.25003,0.33497,0.78253,0.000109408,0.000109408,0.000109408
10,1144.04,0.33429,0.52666,0.85981,0.85248,0.99107,0.95078,0.92938,0.24702,0.34855,0.78172,0.000106834,0.000106834,0.000106834
11,1243.3,0.32203,0.50384,0.85384,0.86609,0.98312,0.94397,0.92144,0.24499,0.34042,0.78316,0.00010426,0.00010426,0.00010426
12,1331.59,0.32421,0.49637,0.85613,0.86101,0.98616,0.94847,0.93054,0.2346,0.33342,0.77871,0.000101686,0.000101686,0.000101686
13,1408.36,0.31183,0.4775,0.85279,0.87046,0.96751,0.94693,0.92647,0.24639,0.34463,0.78161,9.9112e-05,9.9112e-05,9.9112e-05
14,1496.1,0.31609,0.482,0.85672,0.86017,0.97672,0.94623,0.92347,0.23441,0.32545,0.77717,9.6538e-05,9.6538e-05,9.6538e-05
15,1607.55,0.30131,0.45528,0.84443,0.87836,0.94633,0.95493,0.93724,0.24251,0.3337,0.77732,9.3964e-05,9.3964e-05,9.3964e-05
16,1682.91,0.29636,0.43905,0.84102,0.85855,0.96748,0.95193,0.93664,0.22508,0.32153,0.77487,9.139e-05,9.139e-05,9.139e-05
17,1771.89,0.29654,0.44712,0.84738,0.84087,0.97548,0.949,0.93242,0.23762,0.34356,0.77809,8.8816e-05,8.8816e-05,8.8816e-05
18,1855.63,0.29513,0.43287,0.84782,0.87265,0.96243,0.94781,0.93892,0.21584,0.31708,0.77259,8.6242e-05,8.6242e-05,8.6242e-05
19,1938.39,0.27914,0.41512,0.84082,0.85116,0.98818,0.9449,0.92998,0.21973,0.31263,0.77397,8.3668e-05,8.3668e-05,8.3668e-05
20,2042.06,0.27475,0.41973,0.83643,0.8655,0.98564,0.94826,0.93186,0.22932,0.31855,0.77299,8.1094e-05,8.1094e-05,8.1094e-05
21,2135.42,0.28517,0.41584,0.84489,0.87427,0.97719,0.9474,0.93241,0.2202,0.31545,0.77439,7.852e-05,7.852e-05,7.852e-05
22,2230.74,0.27842,0.41408,0.84355,0.87764,0.97175,0.94493,0.93442,0.21046,0.31786,0.77044,7.5946e-05,7.5946e-05,7.5946e-05
23,2324.99,0.2779,0.41711,0.84521,0.87862,0.98598,0.94678,0.93249,0.21689,0.31448,0.77143,7.3372e-05,7.3372e-05,7.3372e-05
24,2417.19,0.2729,0.40634,0.83975,0.88159,0.98241,0.95225,0.94057,0.21172,0.30659,0.77075,7.0798e-05,7.0798e-05,7.0798e-05
25,2497.75,0.26411,0.40114,0.83985,0.87657,0.98367,0.94853,0.93743,0.20597,0.31086,0.76945,6.8224e-05,6.8224e-05,6.8224e-05
26,2588.51,0.27227,0.39314,0.84402,0.88702,0.982,0.94861,0.93815,0.2068,0.30529,0.77019,6.565e-05,6.565e-05,6.565e-05
27,2678.57,0.25541,0.38842,0.83253,0.86542,0.99053,0.94677,0.93505,0.20085,0.30403,0.76999,6.3076e-05,6.3076e-05,6.3076e-05
28,2759.56,0.25419,0.37843,0.83054,0.84329,0.99238,0.9466,0.93476,0.21109,0.31354,0.77028,6.0502e-05,6.0502e-05,6.0502e-05
29,2849.34,0.25183,0.37805,0.83754,0.86908,0.98974,0.94814,0.93849,0.21074,0.29142,0.76803,5.7928e-05,5.7928e-05,5.7928e-05
30,2936.31,0.25398,0.36618,0.83944,0.86087,0.99126,0.95049,0.94029,0.20806,0.30605,0.77003,5.5354e-05,5.5354e-05,5.5354e-05
31,3045.48,0.24805,0.37231,0.8354,0.86147,0.97821,0.95181,0.94326,0.1968,0.31744,0.76653,5.278e-05,5.278e-05,5.278e-05
32,3134.28,0.25463,0.37145,0.83697,0.86379,0.97487,0.95163,0.94545,0.19737,0.30696,0.7665,5.0206e-05,5.0206e-05,5.0206e-05
33,3215.72,0.25046,0.36576,0.83717,0.87497,0.97289,0.95407,0.94704,0.19411,0.3034,0.7659,4.7632e-05,4.7632e-05,4.7632e-05
34,3300.87,0.23479,0.34876,0.82801,0.88531,0.96613,0.94952,0.94327,0.18605,0.29583,0.76478,4.5058e-05,4.5058e-05,4.5058e-05
35,3391.93,0.23036,0.33992,0.82941,0.88811,0.97788,0.94778,0.93911,0.18415,0.29156,0.76492,4.2484e-05,4.2484e-05,4.2484e-05
36,3472.51,0.23826,0.3501,0.83471,0.88521,0.97656,0.94994,0.94148,0.18822,0.29585,0.76408,3.991e-05,3.991e-05,3.991e-05
37,3551,0.24093,0.34652,0.83195,0.8802,0.96366,0.94723,0.9394,0.18893,0.30757,0.76417,3.7336e-05,3.7336e-05,3.7336e-05
38,3616.53,0.22778,0.34015,0.82976,0.86888,0.9701,0.94676,0.93505,0.19824,0.29907,0.76667,3.4762e-05,3.4762e-05,3.4762e-05
39,3680.65,0.2334,0.33619,0.83117,0.87991,0.97504,0.95125,0.94457,0.18467,0.29719,0.76278,3.2188e-05,3.2188e-05,3.2188e-05
40,3753.27,0.22182,0.31853,0.82456,0.86491,0.98465,0.94807,0.94016,0.17575,0.29893,0.7617,2.9614e-05,2.9614e-05,2.9614e-05
41,3861.71,0.17917,0.29286,0.79857,0.85162,0.9938,0.94854,0.94212,0.17928,0.2883,0.76166,2.704e-05,2.704e-05,2.704e-05
42,3929.89,0.17577,0.28572,0.78983,0.85144,0.98953,0.95206,0.94631,0.1805,0.29518,0.76284,2.4466e-05,2.4466e-05,2.4466e-05
43,3991.28,0.17143,0.27809,0.79102,0.8653,0.96823,0.94343,0.93765,0.17479,0.29312,0.76178,2.1892e-05,2.1892e-05,2.1892e-05
44,4059.98,0.1713,0.27462,0.79309,0.8774,0.96912,0.94474,0.93841,0.17258,0.29996,0.76001,1.9318e-05,1.9318e-05,1.9318e-05
45,4128.75,0.16827,0.27212,0.78977,0.88443,0.95822,0.94732,0.94189,0.17208,0.29286,0.7597,1.6744e-05,1.6744e-05,1.6744e-05
46,4198.58,0.16392,0.26404,0.79086,0.86302,0.96998,0.95066,0.94555,0.16943,0.29754,0.7588,1.417e-05,1.417e-05,1.417e-05
47,4267.67,0.16061,0.25883,0.78785,0.87533,0.95899,0.94517,0.94024,0.17097,0.29906,0.75938,1.1596e-05,1.1596e-05,1.1596e-05
48,4334.75,0.15879,0.25809,0.78681,0.87544,0.95674,0.94783,0.94266,0.16657,0.30101,0.75859,9.022e-06,9.022e-06,9.022e-06
49,4406.74,0.1568,0.25068,0.78841,0.88021,0.95343,0.95083,0.94588,0.16869,0.29909,0.7593,6.448e-06,6.448e-06,6.448e-06
50,4473.87,0.15545,0.24716,0.79096,0.87608,0.95606,0.94529,0.94022,0.16598,0.30159,0.75912,3.874e-06,3.874e-06,3.874e-06
