epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.2012,0.89297,3.78456,1.17796,0.49097,0.41221,0.33991,0.31769,0.37999,1.88337,0.83525,4.25595e-05,4.25595e-05,4.25595e-05
2,60.1844,0.44219,1.59558,0.91652,0.66671,0.72903,0.69892,0.67035,0.30432,0.89613,0.79917,8.41922e-05,8.41922e-05,8.41922e-05
3,89.533,0.39611,1.05168,0.88659,0.77741,0.84612,0.8455,0.81258,0.29517,0.65269,0.79037,0.000124109,0.000124109,0.000124109
4,118.248,0.38072,0.86305,0.87915,0.76618,0.87981,0.89919,0.87028,0.28172,0.56292,0.78679,0.000122278,0.000122278,0.000122278
5,147.792,0.36906,0.77053,0.8768,0.82585,0.92864,0.92906,0.89463,0.2935,0.47088,0.79638,0.000119704,0.000119704,0.000119704
6,177.52,0.36044,0.6974,0.87543,0.82233,0.96849,0.93263,0.89997,0.26501,0.4404,0.78581,0.00011713,0.00011713,0.00011713
7,206.528,0.34156,0.63665,0.87139,0.85742,0.94993,0.93735,0.91629,0.24566,0.40934,0.77921,0.000114556,0.000114556,0.000114556
8,235.039,0.32093,0.59508,0.859,0.82502,0.99127,0.93744,0.91544,0.24028,0.38463,0.77626,0.000111982,0.000111982,0.000111982
9,262.775,0.33075,0.56131,0.86263,0.86417,0.96439,0.93924,0.92075,0.23002,0.34978,0.77544,0.000109408,0.000109408,0.000109408
10,290.24,0.31955,0.53597,0.85814,0.84965,0.97182,0.94165,0.91905,0.24104,0.35929,0.77663,0.000106834,0.000106834,0.000106834
11,317.567,0.3096,0.51441,0.85501,0.82296,0.97142,0.95061,0.93024,0.23373,0.35402,0.77767,0.00010426,0.00010426,0.00010426
12,345.094,0.3069,0.50358,0.85646,0.84913,0.97063,0.92755,0.91041,0.22746,0.35383,0.77318,0.000101686,0.000101686,0.000101686
13,372.403,0.29776,0.48808,0.85624,0.86017,0.99567,0.93962,0.91875,0.23588,0.34556,0.77508,9.9112e-05,9.9112e-05,9.9112e-05
14,399.725,0.29786,0.49322,0.85574,0.86935,0.97296,0.94236,0.91606,0.2408,0.33998,0.77532,9.6538e-05,9.6538e-05,9.6538e-05
15,427.126,0.28876,0.46759,0.84787,0.83944,0.99709,0.94022,0.92516,0.22421,0.33172,0.77064,9.3964e-05,9.3964e-05,9.3964e-05
16,454.545,0.2731,0.44409,0.84098,0.85522,0.97089,0.93593,0.91948,0.21226,0.32807,0.77069,9.139e-05,9.139e-05,9.139e-05
17,481.94,0.28237,0.4565,0.84958,0.83285,0.99464,0.94062,0.92348,0.21489,0.34887,0.76912,8.8816e-05,8.8816e-05,8.8816e-05
18,509.357,0.27513,0.43508,0.84567,0.85751,0.97459,0.94005,0.92284,0.21261,0.32411,0.76849,8.6242e-05,8.6242e-05,8.6242e-05
19,536.739,0.26899,0.42502,0.84019,0.85637,0.97178,0.9388,0.92545,0.21531,0.32225,0.76833,8.3668e-05,8.3668e-05,8.3668e-05
20,564.121,0.26187,0.43144,0.83754,0.87125,0.97123,0.9387,0.92271,0.21086,0.32871,0.76753,8.1094e-05,8.1094e-05,8.1094e-05
21,591.597,0.26766,0.41955,0.84365,0.87182,0.97603,0.94037,0.92672,0.21214,0.32566,0.77008,7.852e-05,7.852e-05,7.852e-05
22,619.114,0.2675,0.42135,0.84686,0.85615,0.97503,0.94601,0.93348,0.20058,0.31548,0.76578,7.5946e-05,7.5946e-05,7.5946e-05
23,646.838,0.26965,0.41196,0.84728,0.87424,0.97788,0.95083,0.94028,0.20347,0.31354,0.76613,7.3372e-05,7.3372e-05,7.3372e-05
24,674.871,0.26108,0.40273,0.8435,0.8697,0.97884,0.94766,0.93598,0.20334,0.31093,0.76547,7.0798e-05,7.0798e-05,7.0798e-05
25,703.004,0.25151,0.39814,0.83558,0.84364,0.99492,0.95086,0.94284,0.19294,0.31299,0.76222,6.8224e-05,6.8224e-05,6.8224e-05
26,730.653,0.25662,0.40237,0.84334,0.87483,0.97744,0.93792,0.92574,0.19681,0.30629,0.76353,6.565e-05,6.565e-05,6.565e-05
27,758.131,0.24411,0.38992,0.82988,0.85806,0.97826,0.94148,0.93,0.1972,0.31793,0.76464,6.3076e-05,6.3076e-05,6.3076e-05
28,785.611,0.24105,0.37773,0.83239,0.85005,0.9805,0.94322,0.93367,0.194,0.31637,0.76351,6.0502e-05,6.0502e-05,6.0502e-05
29,813.119,0.24233,0.38278,0.83827,0.88435,0.97361,0.94499,0.93675,0.18939,0.29687,0.76193,5.7928e-05,5.7928e-05,5.7928e-05
30,840.599,0.24631,0.3706,0.83975,0.87341,0.96461,0.947,0.934,0.19789,0.30852,0.76322,5.5354e-05,5.5354e-05,5.5354e-05
31,868.106,0.24039,0.38369,0.83708,0.86426,0.97366,0.94402,0.93491,0.1866,0.3022,0.76077,5.278e-05,5.278e-05,5.278e-05
32,896.646,0.2426,0.37649,0.83409,0.88673,0.95358,0.94233,0.93422,0.19237,0.31513,0.76281,5.0206e-05,5.0206e-05,5.0206e-05
33,925.863,0.23776,0.37009,0.83566,0.87914,0.97481,0.94371,0.9351,0.18491,0.29423,0.76144,4.7632e-05,4.7632e-05,4.7632e-05
34,954.406,0.22797,0.3542,0.82817,0.89015,0.95751,0.94579,0.93917,0.18223,0.29929,0.76059,4.5058e-05,4.5058e-05,4.5058e-05
35,982.889,0.22401,0.3417,0.83023,0.87136,0.97303,0.94646,0.93769,0.18594,0.29718,0.76071,4.2484e-05,4.2484e-05,4.2484e-05
36,1011.83,0.23224,0.35867,0.83623,0.88242,0.97686,0.94405,0.93619,0.18209,0.29929,0.76012,3.991e-05,3.991e-05,3.991e-05
