epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,571.769,0.6832,2.91758,1.07343,0.64664,0.65545,0.62138,0.59587,0.29355,1.01122,0.81182,4.28623e-05,4.28623e-05,4.28623e-05
2,1244.88,0.401,1.19972,0.89385,0.71924,0.83947,0.80183,0.77061,0.29799,0.76474,0.80906,8.4489e-05,8.4489e-05,8.4489e-05
3,1785.6,0.38927,0.94596,0.89267,0.79822,0.88218,0.86285,0.83332,0.28008,0.60465,0.80757,0.0001244,0.0001244,0.0001244
4,2523.94,0.37878,0.81896,0.88524,0.76954,0.94047,0.889,0.85461,0.28148,0.5327,0.8114,0.000122278,0.000122278,0.000122278
5,3134.46,0.36205,0.7714,0.87755,0.78341,0.96309,0.89027,0.86138,0.27052,0.52181,0.80143,0.000119704,0.000119704,0.000119704
6,3759.07,0.35419,0.72885,0.87869,0.77792,0.95635,0.88903,0.86249,0.26241,0.49674,0.79794,0.00011713,0.00011713,0.00011713
7,4446.44,0.33629,0.66583,0.86852,0.78974,0.9818,0.88605,0.87,0.23239,0.45722,0.79032,0.000114556,0.000114556,0.000114556
8,5137.26,0.3316,0.64027,0.87236,0.81049,0.97844,0.89901,0.88207,0.22752,0.4458,0.78827,0.000111982,0.000111982,0.000111982
9,5798.54,0.33749,0.62893,0.86948,0.80256,0.98435,0.88785,0.87338,0.22402,0.42594,0.78332,0.000109408,0.000109408,0.000109408
10,6381.91,0.30846,0.59082,0.86176,0.80389,0.97385,0.9,0.88828,0.22374,0.4224,0.78536,0.000106834,0.000106834,0.000106834
11,7008.17,0.30432,0.57406,0.85837,0.82438,0.97592,0.9012,0.89031,0.21657,0.41831,0.7838,0.00010426,0.00010426,0.00010426
12,7803.05,0.29754,0.56863,0.85733,0.79005,0.98556,0.89747,0.88417,0.22383,0.43185,0.78596,0.000101686,0.000101686,0.000101686
