epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.587,0.96762,4.34684,1.15451,0.60985,0.15549,0.16108,0.14838,0.44553,3.3635,0.8676,4.25595e-05,4.25595e-05,4.25595e-05
2,218.888,0.52444,2.11834,0.94239,0.67016,0.48763,0.50198,0.47702,0.34124,1.54198,0.80209,8.41922e-05,8.41922e-05,8.41922e-05
3,333.262,0.4425,1.45581,0.89437,0.62023,0.50021,0.51374,0.49553,0.2905,1.09487,0.78709,0.000124109,0.000124109,0.000124109
4,466.544,0.40766,1.12277,0.87759,0.77558,0.65659,0.68442,0.65884,0.30339,0.87796,0.78577,0.000122278,0.000122278,0.000122278
5,602.764,0.39275,0.96953,0.8667,0.81877,0.43313,0.47532,0.46011,0.28152,0.73577,0.77682,0.000119704,0.000119704,0.000119704
6,743.952,0.37849,0.85639,0.86622,0.80101,0.50359,0.49468,0.48055,0.26292,0.65271,0.77379,0.00011713,0.00011713,0.00011713
7,890.587,0.3675,0.78971,0.86093,0.84361,0.59625,0.61298,0.5939,0.25554,0.59546,0.77079,0.000114556,0.000114556,0.000114556
8,1028.68,0.36078,0.74555,0.85791,0.82537,0.75658,0.79131,0.77339,0.24869,0.55337,0.76784,0.000111982,0.000111982,0.000111982
9,1169.05,0.33757,0.70175,0.84637,0.80082,0.94666,0.90375,0.88663,0.24631,0.52214,0.77043,0.000109408,0.000109408,0.000109408
10,1290.64,0.33775,0.65096,0.85042,0.80998,0.95191,0.90884,0.8868,0.25909,0.50253,0.77058,0.000106834,0.000106834,0.000106834
11,1423.99,0.3332,0.6401,0.84868,0.78949,0.95013,0.90601,0.88597,0.24084,0.49805,0.76703,0.00010426,0.00010426,0.00010426
12,1547.71,0.32759,0.63046,0.84689,0.83134,0.95566,0.93992,0.92006,0.24564,0.46297,0.76796,0.000101686,0.000101686,0.000101686
13,1661.03,0.31286,0.58323,0.84244,0.84372,0.96397,0.9397,0.92259,0.24015,0.45556,0.76712,9.9112e-05,9.9112e-05,9.9112e-05
14,1771.04,0.31419,0.58401,0.8438,0.81719,0.97762,0.93235,0.91304,0.23242,0.46584,0.76359,9.6538e-05,9.6538e-05,9.6538e-05
15,1882.14,0.3128,0.56723,0.84263,0.86228,0.96739,0.93149,0.91525,0.23295,0.43333,0.7636,9.3964e-05,9.3964e-05,9.3964e-05
16,1989.94,0.31128,0.54644,0.84676,0.8412,0.98062,0.93768,0.92011,0.22257,0.4075,0.76127,9.139e-05,9.139e-05,9.139e-05
17,2091.75,0.30535,0.53732,0.84349,0.84217,0.97121,0.93748,0.92482,0.22459,0.40529,0.76259,8.8816e-05,8.8816e-05,8.8816e-05
18,2186.9,0.29955,0.51496,0.84367,0.85513,0.96303,0.93242,0.91584,0.23049,0.41789,0.76599,8.6242e-05,8.6242e-05,8.6242e-05
19,2276.3,0.29488,0.51133,0.83813,0.87387,0.98659,0.94155,0.92681,0.21842,0.39395,0.76156,8.3668e-05,8.3668e-05,8.3668e-05
20,2369.27,0.29549,0.50956,0.83991,0.87002,0.96514,0.93886,0.9219,0.22181,0.38461,0.76129,8.1094e-05,8.1094e-05,8.1094e-05
21,2465.91,0.28724,0.4907,0.83488,0.86018,0.98687,0.93723,0.92349,0.21457,0.38424,0.76024,7.852e-05,7.852e-05,7.852e-05
22,2576,0.28912,0.48964,0.84018,0.86039,0.98598,0.94162,0.93041,0.21672,0.38284,0.75973,7.5946e-05,7.5946e-05,7.5946e-05
23,2694.71,0.28577,0.47807,0.83671,0.8346,0.99333,0.93998,0.92952,0.21265,0.37884,0.75967,7.3372e-05,7.3372e-05,7.3372e-05
24,2803.54,0.28137,0.47784,0.83534,0.86057,0.97306,0.9393,0.93025,0.20549,0.37134,0.75853,7.0798e-05,7.0798e-05,7.0798e-05
25,2922.01,0.27677,0.47099,0.83641,0.81907,0.99744,0.94812,0.93856,0.2038,0.35869,0.75789,6.8224e-05,6.8224e-05,6.8224e-05
26,3067.4,0.27756,0.4643,0.83262,0.85707,0.96501,0.9372,0.92725,0.20108,0.34921,0.75847,6.565e-05,6.565e-05,6.565e-05
27,3175.91,0.27691,0.45716,0.83481,0.8898,0.9703,0.94418,0.93366,0.20655,0.34966,0.75835,6.3076e-05,6.3076e-05,6.3076e-05
28,3281.33,0.27875,0.45255,0.83972,0.875,0.97328,0.93751,0.92292,0.22017,0.35548,0.76064,6.0502e-05,6.0502e-05,6.0502e-05
29,3386.15,0.27146,0.43939,0.8322,0.8832,0.97089,0.93747,0.93001,0.20406,0.34951,0.75802,5.7928e-05,5.7928e-05,5.7928e-05
30,3543.4,0.26273,0.44055,0.83385,0.87743,0.9688,0.94597,0.93877,0.19734,0.35197,0.75667,5.5354e-05,5.5354e-05,5.5354e-05
31,3691.25,0.26117,0.43006,0.82628,0.83826,0.99189,0.93998,0.92985,0.19839,0.34661,0.75794,5.278e-05,5.278e-05,5.278e-05
32,3844.58,0.25682,0.43189,0.83304,0.8782,0.96324,0.94012,0.93122,0.19761,0.34424,0.75616,5.0206e-05,5.0206e-05,5.0206e-05
33,4009.35,0.25939,0.42896,0.82945,0.85947,0.96976,0.93615,0.92863,0.20257,0.34827,0.75759,4.7632e-05,4.7632e-05,4.7632e-05
34,4174.12,0.26288,0.4304,0.8367,0.88271,0.97016,0.93863,0.92985,0.19108,0.34329,0.75578,4.5058e-05,4.5058e-05,4.5058e-05
