epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.864,1.62472,14.423,2.21601,0.26603,0.06342,0.05061,0.0483,0.81084,9.73927,1.70177,4.25595e-05,4.25595e-05,4.25595e-05
2,209.147,0.98921,6.4372,1.86171,0.41463,0.31467,0.30064,0.28546,0.68791,5.70845,1.63808,8.41922e-05,8.41922e-05,8.41922e-05
3,312.537,0.9296,4.32587,1.82617,0.67357,0.42582,0.46116,0.43811,0.67254,3.97752,1.61184,0.000124109,0.000124109,0.000124109
4,433.924,0.86321,3.15791,1.78292,0.64816,0.61121,0.63362,0.60623,0.63727,2.81548,1.60349,0.000122278,0.000122278,0.000122278
5,571.575,0.85595,2.55505,1.7859,0.75378,0.67229,0.70643,0.68081,0.5906,2.34072,1.59292,0.000119704,0.000119704,0.000119704
6,676.984,0.81402,2.19739,1.77674,0.71411,0.71307,0.75502,0.73365,0.58219,2.00249,1.59136,0.00011713,0.00011713,0.00011713
7,783.311,0.79332,1.96388,1.76543,0.74627,0.76415,0.80488,0.77256,0.57022,1.752,1.58422,0.000114556,0.000114556,0.000114556
8,894.582,0.77349,1.81958,1.7522,0.74665,0.8025,0.85193,0.81044,0.62663,1.57915,1.59625,0.000111982,0.000111982,0.000111982
9,995.753,0.75039,1.66243,1.7389,0.71098,0.87301,0.86112,0.82828,0.55757,1.35921,1.57792,0.000109408,0.000109408,0.000109408
10,1094.1,0.74233,1.56725,1.74223,0.74101,0.8858,0.88199,0.8537,0.58226,1.32436,1.57934,0.000106834,0.000106834,0.000106834
11,1198.41,0.73532,1.48914,1.74691,0.73954,0.88246,0.88812,0.86077,0.52459,1.23008,1.57248,0.00010426,0.00010426,0.00010426
12,1312.68,0.72558,1.43597,1.72789,0.77393,0.90374,0.90213,0.8802,0.51426,1.16802,1.56626,0.000101686,0.000101686,0.000101686
13,1425.29,0.68927,1.32097,1.72397,0.75599,0.89384,0.89882,0.87471,0.50682,1.13502,1.56012,9.9112e-05,9.9112e-05,9.9112e-05
14,1547.56,0.68587,1.29299,1.71649,0.81478,0.87907,0.89886,0.88166,0.47075,1.06266,1.55342,9.6538e-05,9.6538e-05,9.6538e-05
15,1663.53,0.67425,1.24005,1.70628,0.78119,0.93074,0.90862,0.88446,0.50425,1.03018,1.56119,9.3964e-05,9.3964e-05,9.3964e-05
16,1785.34,0.68208,1.2075,1.72765,0.7929,0.9128,0.9197,0.89928,0.47517,1.00575,1.55503,9.139e-05,9.139e-05,9.139e-05
17,1902.13,0.67492,1.17678,1.71584,0.8155,0.87975,0.90622,0.88645,0.49042,0.99953,1.56188,8.8816e-05,8.8816e-05,8.8816e-05
18,2013.93,0.65351,1.13113,1.71809,0.82219,0.87961,0.92297,0.9065,0.46126,0.96117,1.55038,8.6242e-05,8.6242e-05,8.6242e-05
19,2130.5,0.63623,1.10808,1.70135,0.8116,0.91167,0.91615,0.8977,0.47034,0.94009,1.55346,8.3668e-05,8.3668e-05,8.3668e-05
20,2254.38,0.65338,1.1129,1.71429,0.80789,0.90403,0.90679,0.88991,0.47662,0.93892,1.554,8.1094e-05,8.1094e-05,8.1094e-05
21,2389.32,0.63306,1.05986,1.70728,0.81387,0.93168,0.91615,0.90155,0.44054,0.89742,1.54878,7.852e-05,7.852e-05,7.852e-05
22,2523.69,0.62654,1.05377,1.70573,0.83072,0.93795,0.92585,0.91072,0.43574,0.84558,1.54332,7.5946e-05,7.5946e-05,7.5946e-05
23,2652.36,0.60752,1.03335,1.6964,0.8146,0.93506,0.93516,0.92322,0.42759,0.82999,1.53831,7.3372e-05,7.3372e-05,7.3372e-05
24,2774.09,0.61077,1.01779,1.69139,0.81374,0.93226,0.92569,0.91545,0.43527,0.80819,1.53842,7.0798e-05,7.0798e-05,7.0798e-05
